source,brand,description,original_price,final_price
babymarkt,Nomi,"by evomove Hochstuhlset Walnuss mit Walnusskern, natur geölt/lime",344.9,344.9
babymarkt,Nomi,"by evomove Hochstuhlset Eiche mit Buchekern, weiß geölt/coffee",259.9,259.9
babymarkt,Chic 4 Baby,Hochstuhl Fiete Rosa,109.0,109.0
babymarkt,Peg Perego,Hochstuhl Siesta Follow Me Noce Lederimitat,229.0,229.0
babymarkt,POLINI,Kids Hochstuhl weiß-blau-grau,49.0,49.0
babymarkt,Hauck,Hochstuhl Sit'n Fold Pooh Cuddles,79.99,79.99
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Oak Brown,249.0,249.0
babymarkt,Geuther,Hochstuhl Syt kolonial,159.99,159.99
babymarkt,Peg Perego,Hochstuhl Prima Pappa Follow Wonder Green,159.0,159.0
babymarkt,Peg Perego,Hochstuhl Prima Pappa Follow Gold (Lederimitat),189.0,189.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Warm Red inkl. Classic Baby Sitzkissen Pink Fox + gratis Baby Set Warm Red,303.0,303.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Warm Red inkl. Classic Baby Sitzkissen Robot Grey + gratis Baby Set Warm Red,303.0,303.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche walnussbraun inkl. Newborn Set™ Grey,308.0,308.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl inkl. Baby Set Buche weiß,258.0,258.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl inkl. Baby Set Buche Moss Green,258.0,258.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl inkl. Baby Set Buche natur,258.0,258.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Oak Grey Wash inkl. Baby Set Storm Grey,298.0,298.0
babymarkt,STOKKE,Tripp Trapp® Tray weiß,49.0,49.0
babymarkt,Britax Römer,"Kinderwagen Smile III Frost Grey, brown",599.0,599.0
babymarkt,cybex GOLD,Kindersitz Pallas G i-Size Navy Blue,299.95,299.95
babymarkt,Luma,Babycare Bade- und Pflegeset Sage Green,119.99,119.99
babymarkt,PHILIPS AVENT,Starterset für Neugeborenen SCD301/01 Naturnah 2.0,39.99,39.99
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Storm inkl. Newborn Set™ Grey,308.0,308.0
babymarkt,Zapf,Creation Baby Annabell® Annabell 43 cm,69.99,69.99
babymarkt,Staccato,Schneeanzug tinte Alloverprint,59.99,59.99
babymarkt,Hauck,Alpha Esstisch Tray Grey,49.9,49.9
babymarkt,STOKKE,Tripp Trapp® Sicherheitsgurt beige,39.0,39.0
babymarkt,CHILDHOME,Treppenhochstuhl Lambda 3 weiß,169.0,169.0
babymarkt,Schardt,Hochstuhl Holly rosa,149.0,149.0
babymarkt,Bumbo,"Sitzerhöhung Booster Seat, Cradle Pink",52.89,52.89
babymarkt,Bumbo,Sitzerhöhung Powder Blue Floor Seat,69.99,69.99
babymarkt,QuarttoLino®,Set Maxi Giraffe + Baumwollsitzkissen Rot,519.0,519.0
babymarkt,Nomi,"by evomove Hochstuhlset Walnuss mit Walnusskern, natur geölt/weiß",344.9,344.9
babymarkt,Nomi,"by evomove Hochstuhlset Eiche mit Eichekern, natur geölt/schwarz",344.9,344.9
babymarkt,Nomi,"by evomove Hochstuhlset Eiche mit Buchekern, schwarz lackiert/lime",284.9,284.9
babymarkt,Nomi,"by evomove Hochstuhlset Eiche mit Eichekern, natur geölt/weiß",344.9,344.9
babymarkt,Treppy,Hochstuhl grau + Gratis Sitzkissen Stars,178.9,178.9
babymarkt,Safety 1st,Hochstuhl Kanji Isla Bonita,54.98,54.98
babymarkt,STOKKE,CLIKK™ Hochstuhl Sunny Coral + gratis Chair Travel Bag,198.0,198.0
babymarkt,Peg Perego,PegPerego Hochstuhl Siesta Follow Me Wonder Grey,249.0,249.0
babymarkt,Peg Perego,PegPerego Hochstuhl Siesta Follow Me Wonder Green,249.0,249.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl inkl. Baby Set Buche Hazy Grey,258.0,258.0
babymarkt,CHILDHOME,Treppenhochstuhl Lambda 3 anthrazit,169.0,169.0
babymarkt,CHILDHOME,Treppenhochstuhl Lambda 3 schwarz,169.0,169.0
babymarkt,Schardt,Hochstuhl Holly mint,149.0,149.0
babymarkt,roba,Treppenhochstuhl Kid Up bicolor,129.9,129.9
babymarkt,STOKKE,CLIKK™ Hochstuhl Clover Green,169.0,169.0
babymarkt,Bumbo,Sitzerhöhung Powder Blue,52.89,52.89
babymarkt,Bumbo,Sitzerhöhung Mimosa Yellow Floor Seat,69.99,69.99
babymarkt,Bumbo,Sitzerhöhung Grape Floor Seat,69.99,69.99
babymarkt,Safety 1st,Hochstuhl Looky Happy Day,89.9,89.9
babymarkt,Safety 1st,Hochstuhl Looky Red Campus,89.9,89.9
babymarkt,Peg Perego,Reisehochstuhl Rialto Petrolio Lederimitat,79.0,79.0
babymarkt,QuarttoLino®,Set Mini Grün,399.0,399.0
babymarkt,QuarttoLino®,Set Mini Blau,399.0,399.0
babymarkt,Britax Römer,"Kinderwagen Smile III Frost Grey, brown",599.0,599.0
babymarkt,cybex GOLD,Kindersitz Pallas G i-Size Navy Blue,299.95,299.95
babymarkt,Luma,Babycare Bade- und Pflegeset Sage Green,119.99,119.99
babymarkt,PHILIPS AVENT,Starterset für Neugeborenen SCD301/01 Naturnah 2.0,39.99,39.99
